client_send_at,server_receive_at,image_preprocessed_at,image_predicted_at,image_save_at,qoe_computed_at,broker_produced_at,client_receive_at
1731647559.459088,1731647559.4670017,1731647559.4735515,1731647559.4921694,1731647559.4673913,1731647559.492182,1731647559.4931629,1731647559.4908955
1731647559.4910915,1731647559.4990919,1731647559.5053225,1731647559.5242732,1731647559.4994907,1731647559.5242863,1731647559.5252547,1731647559.523006
1731647559.5231872,1731647559.5321233,1731647559.540062,1731647559.5616348,1731647559.5325532,1731647559.5616474,1731647559.562633,1731647559.5603523
1731647559.56063,1731647559.5688088,1731647559.5753126,1731647559.608615,1731647559.5691752,1731647559.6086268,1731647559.609759,1731647559.6075273
1731647559.607784,1731647559.6169586,1731647559.6246142,1731647559.646452,1731647559.6174653,1731647559.646473,1731647559.647377,1731647559.645382
1731647559.6456492,1731647559.6542814,1731647559.661394,1731647559.681497,1731647559.654723,1731647559.6815104,1731647559.6826224,1731647559.6803648
1731647559.680573,1731647559.6891873,1731647559.6960268,1731647559.7153866,1731647559.6897147,1731647559.715406,1731647559.7164767,1731647559.7144618
1731647559.7146971,1731647559.722925,1731647559.729972,1731647559.7511115,1731647559.7233195,1731647559.751125,1731647559.752157,1731647559.7500534
1731647559.7502651,1731647559.7588787,1731647559.7723448,1731647559.7912037,1731647559.7592385,1731647559.7912183,1731647559.7921844,1731647559.7900567
1731647559.7902613,1731647559.7985084,1731647559.8050754,1731647559.8234808,1731647559.7989097,1731647559.823493,1731647559.8244948,1731647559.8223002
1731647559.8225033,1731647559.8310556,1731647559.8378737,1731647559.8613176,1731647559.8315477,1731647559.8613355,1731647559.862296,1731647559.860162
1731647559.8603694,1731647559.8697507,1731647559.8785121,1731647559.9011931,1731647559.870173,1731647559.901207,1731647559.9020762,1731647559.8999166
1731647559.900123,1731647559.9082682,1731647559.9149623,1731647559.9334729,1731647559.908663,1731647559.9334872,1731647559.9343355,1731647559.9321928
1731647559.932429,1731647559.9405582,1731647559.9467604,1731647559.9653459,1731647559.940935,1731647559.9653583,1731647559.9662662,1731647559.9641545
1731647559.9643617,1731647559.972496,1731647559.9786003,1731647560.0005383,1731647559.9728773,1731647560.0005507,1731647560.0022986,1731647560.0001452
1731647560.0003395,1731647560.0086045,1731647560.0148768,1731647560.0335038,1731647560.0089877,1731647560.0335166,1731647560.034595,1731647560.0324426
1731647560.0327384,1731647560.040873,1731647560.0473387,1731647560.0653913,1731647560.0412328,1731647560.0654051,1731647560.0665276,1731647560.064313
1731647560.0645344,1731647560.0734594,1731647560.0805197,1731647560.1026437,1731647560.0739102,1731647560.1026592,1731647560.1041436,1731647560.1023462
1731647560.1026149,1731647560.111177,1731647560.1178112,1731647560.1370044,1731647560.1116276,1731647560.1370194,1731647560.137895,1731647560.135753
1731647560.1359737,1731647560.1441634,1731647560.150309,1731647560.1688423,1731647560.1445632,1731647560.1688557,1731647560.1698368,1731647560.1674802
