client_send_time,network_time,server_receive_time,image_save_time,image_preprocessed_time,image_predicted_time,qoe_computed_time,event_produced_time,response_create_time,client_receive_time
1134347.116291826,0.787,1134333.158522769,1134333.160359336,1134333.165423459,1134333.181343579,1134333.18135472,1134333.182175305,1134333.182254143,1134347.142965807
1134347.143093617,0.787,1134333.185292784,1134333.18708128,1134333.1932325,1134333.208618234,1134333.208629825,1134333.209401318,1134333.209480015,1134347.170207398
1134347.170284793,0.787,1134333.213162728,1134333.215245298,1134333.221393162,1134333.239202878,1134333.239232946,1134333.240082505,1134333.240238137,1134347.201301922
1134347.201381422,0.787,1134333.24403757,1134333.24588114,1134333.252020528,1134333.268907708,1134333.268941191,1134333.269791993,1134333.269952835,1134347.231102718
1134347.231184161,0.787,1134333.27365784,1134333.275460424,1134333.281379957,1134333.298612466,1134333.298643235,1134333.299502472,1134333.299658666,1134347.260770181
1134347.260849561,0.787,1134333.303309008,1134333.305124776,1134333.310813706,1134333.328235622,1134333.328267412,1134333.329142068,1134333.329310726,1134347.290523056
1134347.290607045,0.787,1134333.333238019,1134333.335068034,1134333.340412585,1134333.355793881,1134333.355821653,1134333.356641606,1134333.356784806,1134347.317758917
1134347.317842243,0.787,1134333.360253095,1134333.362107546,1134333.367610565,1134333.383403966,1134333.383430356,1134333.384187271,1134333.384333777,1134347.345329245
1134347.345410178,0.787,1134333.387928414,1134333.389655274,1134333.395068434,1134333.410695863,1134333.410721932,1134333.411474509,1134333.411622618,1134347.372688618
1134347.372766225,0.787,1134333.415166839,1134333.417137639,1134333.422671167,1134333.438044116,1134333.438071036,1134333.438888936,1134333.439052535,1134347.399992446
1134347.400203294,0.787,1134333.442511155,1134333.444263614,1134333.449856112,1134333.465514989,1134333.465541188,1134333.466309034,1134333.466463956,1134347.427425247
1134347.427503174,0.787,1134333.469955098,1134333.471700284,1134333.477084218,1134333.493480424,1134333.493507135,1134333.494241848,1134333.494399234,1134347.455382546
1134347.455465763,0.787,1134333.497871751,1134333.499625432,1134333.505249019,1134333.526791422,1134333.526820117,1134333.527700273,1134333.527846809,1134347.488993125
1134347.489122739,0.787,1134333.532602952,1134333.534915926,1134333.541569712,1134333.561906346,1134333.561943956,1134333.562873877,1134333.563113668,1134347.524593203
1134347.524677151,0.787,1134333.567903395,1134333.570150475,1134333.576802368,1134333.596962248,1134333.596991793,1134333.598056317,1134333.598250974,1134347.559486871
1134347.55957666,0.787,1134333.602545689,1134333.604693061,1134333.611239314,1134333.630993192,1134333.631033748,1134333.631984107,1134333.632164886,1134347.593607701
1134347.593687341,0.787,1134333.636763915,1134333.639062632,1134333.645317186,1134333.664766749,1134333.664784162,1134333.665668638,1134333.665806587,1134347.626892615
1134347.626975842,0.787,1134333.670311317,1134333.672525415,1134333.679268619,1134333.698634195,1134333.698670914,1134333.699606405,1134333.69980591,1134347.661154551
1134347.661236526,0.787,1134333.704603111,1134333.707606716,1134333.71423824,1134333.735203727,1134333.735227301,1134333.736170256,1134333.736339946,1134347.697625672
1134347.697706705,0.787,1134333.740870575,1134333.743147351,1134333.749301937,1134333.768803107,1134333.768822554,1134333.770044795,1134333.770188325,1134347.731245047
1134347.731335608,0.787,1134333.775049706,1134333.777251151,1134333.78379534,1134333.80193632,1134333.801957781,1134333.802761313,1134333.802909322,1134347.76405222
1134347.764147841,0.787,1134333.806796921,1134333.808687901,1134333.814398481,1134333.831199318,1134333.83121074,1134333.832076709,1134333.832165617,1134347.792882284
1134347.792957195,0.787,1134333.835514231,1134333.83730386,1134333.842460547,1134333.858766523,1134333.858777283,1134333.859567431,1134333.859648904,1134347.820448637
1134347.820538446,0.787,1134333.862995714,1134333.864871847,1134333.871406318,1134333.887427277,1134333.8874399,1134333.888123387,1134333.888206864,1134347.848943771
1134347.849083584,0.787,1134333.891481869,1134333.893214441,1134333.898207951,1134333.9135114,1134333.913524284,1134333.914353846,1134333.914459104,1134347.875225792
1134347.875306485,0.787,1134333.917705235,1134333.919392271,1134333.924419274,1134333.939423208,1134333.939434019,1134333.940142613,1134333.940217173,1134347.900890871
1134347.900972204,0.787,1134333.943253479,1134333.945090668,1134333.950269808,1134333.965886185,1134333.965898448,1134333.966567007,1134333.966656145,1134347.927364554
1134347.927445547,0.787,1134333.969932071,1134333.971899685,1134333.977228417,1134333.992839644,1134333.992851146,1134333.993836041,1134333.993918495,1134347.954704789
1134347.954782665,0.787,1134333.997236301,1134333.998975395,1134334.004050759,1134334.019440491,1134334.019452243,1134334.020137703,1134334.020220098,1134347.980899546
1134347.980978074,0.787,1134334.023335743,1134334.025109703,1134334.030731867,1134334.046806767,1134334.046819041,1134334.047497488,1134334.047582868,1134348.008315104
1134348.008393833,0.787,1134334.050762644,1134334.052492631,1134334.057708039,1134334.073571902,1134334.073583245,1134334.074402036,1134334.074483969,1134348.035206464
1134348.035282087,0.787,1134334.077604615,1134334.079416565,1134334.084549087,1134334.099867284,1134334.099879487,1134334.100520994,1134334.100601906,1134348.06131589
1134348.061392965,0.787,1134334.103652449,1134334.105496591,1134334.111092194,1134334.126959494,1134334.126971527,1134334.127916516,1134334.128030951,1134348.088784308
1134348.088864719,0.787,1134334.13128621,1134334.13303933,1134334.138212719,1134334.154251141,1134334.154263253,1134334.155032081,1134334.15511632,1134348.115854555
1134348.115919808,0.787,1134334.15823501,1134334.159953526,1134334.165391473,1134334.181246289,1134334.18125725,1134334.182068888,1134334.182152535,1134348.142902578
1134348.142979754,0.787,1134334.185378508,1134334.187076745,1134334.192584303,1134334.208850403,1134334.208862125,1134334.209652523,1134334.209734348,1134348.170581073
1134348.170659561,0.787,1134334.212942607,1134334.214925661,1134334.220071537,1134334.236342136,1134334.236353397,1134334.237073043,1134334.237154305,1134348.197920148
1134348.198047878,0.787,1134334.240571608,1134334.242387818,1134334.247985936,1134334.264138413,1134334.264151748,1134334.264889547,1134334.264975809,1134348.225826662
1134348.225891113,0.787,1134334.268286,1134334.270048078,1134334.2751969,1134334.291219562,1134334.291231446,1134334.291901036,1134334.291985084,1134348.252760171
1134348.252841214,0.787,1134334.295269707,1134334.297056491,1134334.302441979,1134334.318332483,1134334.318345076,1134334.319105358,1134334.319190277,1134348.279944985
1134348.280073036,0.787,1134334.322526929,1134334.324266915,1134334.329499735,1134334.345127604,1134334.345139757,1134334.345835717,1134334.345922721,1134348.306673077
