client_send_time,network_time,server_receive_time,image_save_time,image_preprocessed_time,image_predicted_time,qoe_computed_time,event_produced_time,response_create_time,client_receive_time
625238.467982094,0.0009507149501368391,625224.454288873,625224.456495546,625224.462263198,625224.479289479,625224.479317451,625224.480436548,625224.480566821,625238.499146809
625238.499288785,0.000990382015429437,625224.48579824,625224.488132001,625224.493974473,625224.511241816,625224.51126628,625224.51234431,625224.512473532,625238.531158167
625238.531305795,0.0009662510137259973,625224.51775815,625224.519967739,625224.525641355,625224.542398972,625224.542427947,625224.543529479,625224.54366878,625238.562192046
625238.562342329,0.0009444220350533737,625224.548775926,625224.550882392,625224.556662467,625224.572885282,625224.572912193,625224.57398389,625224.574114194,625238.592755751
625238.592945447,0.0009078610935211173,625224.579249402,625224.581524955,625224.587461063,625224.604301855,625224.60432564,625224.605329901,625224.605488808,625238.624299308
625238.624442037,0.0009309920051768436,625224.610497219,625224.612458302,625224.618174689,625224.634878956,625224.634904874,625224.636083562,625224.636252769,625238.655116029
625238.655241274,0.000862288003966212,625224.641802674,625224.643898339,625224.649491976,625224.666026304,625224.666053836,625224.667064248,625224.667189172,625238.685695562
625238.685872585,0.0009919119144976146,625224.672245743,625224.674482593,625224.680158263,625224.696865936,625224.696897435,625224.697953423,625224.698124283,625238.716684497
625238.716829169,0.0010388770838677883,625224.703255925,625224.705696506,625224.711782595,625224.728289092,625224.728314959,625224.729281821,625224.729403739,625238.748112046
625238.74824177,0.000854030979029835,625224.734253593,625224.73633467,625224.741996355,625224.758567843,625224.758592349,625224.759712066,625224.759817454,625238.778346801
625238.778472427,0.0008807009507790196,625224.764533126,625224.766584448,625224.772348535,625224.789104829,625224.789133152,625224.790285149,625224.790417767,625238.808991128
625238.809166157,0.0009009859516546127,625224.795298238,625224.797430893,625224.802984184,625224.819376457,625224.8193996,625224.82045629,625224.820565353,625238.839045143
625238.839185206,0.0009270380288735024,625224.825161612,625224.827169042,625224.833226458,625224.850526551,625224.850554082,625224.851479505,625224.851606223,625238.870277244
625238.870401688,0.000859897961378097,625224.856492014,625224.858593911,625224.864432296,625224.8813646,625224.881386872,625224.882366166,625224.882479328,625238.900940586
