client_send_at,server_receive_at,image_preprocessed_at,image_predicted_at,image_save_at,client_receive_at
1731646171.7092667,1731646171.7129622,1731646171.7204735,1731646171.739924,1731646171.714463,1731646171.7415822
1731646171.7418988,1731646171.745481,1731646171.7528365,1731646171.7727652,1731646171.7470176,1731646171.7736712
1731646171.7739062,1731646171.777145,1731646171.7843232,1731646171.8028715,1731646171.7785413,1731646171.8037405
1731646171.8039298,1731646171.807542,1731646171.8155465,1731646171.8358634,1731646171.8092804,1731646171.8370242
1731646171.8371756,1731646171.8402476,1731646171.847498,1731646171.8665447,1731646171.841874,1731646171.8671854
1731646171.8673282,1731646171.8706548,1731646171.8793938,1731646171.8988988,1731646171.8723998,1731646171.8998585
1731646171.9000063,1731646171.90317,1731646171.9103286,1731646171.9295225,1731646171.9047186,1731646171.930795
1731646171.9311297,1731646171.934611,1731646171.9413197,1731646171.9600868,1731646171.9359875,1731646171.9608064
1731646171.9609873,1731646171.964399,1731646171.9721673,1731646171.9911337,1731646171.9660623,1731646171.9919915
1731646171.992132,1731646171.995317,1731646172.0033247,1731646172.0232985,1731646171.9969962,1731646172.024655
1731646172.0249493,1731646172.0285637,1731646172.035714,1731646172.0547197,1731646172.030038,1731646172.056236
1731646172.0565355,1731646172.060402,1731646172.0679579,1731646172.087477,1731646172.0620391,1731646172.0885923
1731646172.0887568,1731646172.092088,1731646172.0995457,1731646172.1192234,1731646172.0936801,1731646172.1207576
