model,client_send_at,server_receive_at,image_preprocessed_at,image_predicted_at,image_save_at,qoe_computed_at,broker_produced_at,client_receive_at
squeezenet1_1,1731684896.9928634,1731684896.997819,1731684897.0039818,1731684897.0180888,1731684896.9983137,1731684897.0181048,1731684897.0191083,1731684897.0196605
squeezenet1_1,1731684897.019846,1731684897.0246599,1731684897.030863,1731684897.0438056,1731684897.0250623,1731684897.0438206,1731684897.044735,1731684897.0452492
squeezenet1_1,1731684897.0454955,1731684897.0503633,1731684897.0569482,1731684897.0706177,1731684897.0507984,1731684897.0706325,1731684897.0715313,1731684897.072326
squeezenet1_1,1731684897.072621,1731684897.0776446,1731684897.0832756,1731684897.0966988,1731684897.0780456,1731684897.0967145,1731684897.0975804,1731684897.098021
squeezenet1_1,1731684897.0982196,1731684897.1029642,1731684897.1086285,1731684897.1219594,1731684897.1033554,1731684897.1219728,1731684897.1230114,1731684897.1234868
squeezenet1_1,1731684897.1237173,1731684897.1284802,1731684897.1341188,1731684897.1475728,1731684897.1288674,1731684897.147587,1731684897.1484156,1731684897.148896
squeezenet1_1,1731684897.149091,1731684897.1538577,1731684897.159619,1731684897.172748,1731684897.154253,1731684897.1727626,1731684897.1735945,1731684897.1741424
squeezenet1_1,1731684897.174338,1731684897.1793528,1731684897.1851835,1731684897.198663,1731684897.1797931,1731684897.1986783,1731684897.1995335,1731684897.2000508
squeezenet1_1,1731684897.2002277,1731684897.205297,1731684897.2111754,1731684897.2258549,1731684897.2057378,1731684897.2258708,1731684897.2268157,1731684897.2276385
squeezenet1_1,1731684897.2278278,1731684897.2326465,1731684897.2384086,1731684897.2542038,1731684897.233051,1731684897.2542202,1731684897.2559495,1731684897.2568338
squeezenet1_1,1731684897.257011,1731684897.2626338,1731684897.2695086,1731684897.2860336,1731684897.2631402,1731684897.2860482,1731684897.2873025,1731684897.2879844
squeezenet1_1,1731684897.288162,1731684897.2938325,1731684897.300072,1731684897.3169503,1731684897.294282,1731684897.3169675,1731684897.3178651,1731684897.3184514
squeezenet1_1,1731684897.3186824,1731684897.3239992,1731684897.3300743,1731684897.3458512,1731684897.3244197,1731684897.3458652,1731684897.3468535,1731684897.3474758
squeezenet1_1,1731684897.347723,1731684897.3530045,1731684897.3592873,1731684897.3761652,1731684897.353455,1731684897.3761792,1731684897.3771725,1731684897.377841
squeezenet1_1,1731684897.3780296,1731684897.3830576,1731684897.389073,1731684897.4049115,1731684897.3834572,1731684897.4049246,1731684897.405747,1731684897.4061785
squeezenet1_1,1731684897.406352,1731684897.4112315,1731684897.4170496,1731684897.4327877,1731684897.4116228,1731684897.4328008,1731684897.43356,1731684897.4339685
squeezenet1_1,1731684897.4341443,1731684897.438956,1731684897.4448729,1731684897.4602354,1731684897.4393249,1731684897.460248,1731684897.461226,1731684897.4617426
squeezenet1_1,1731684897.4619296,1731684897.4677527,1731684897.474238,1731684897.4906247,1731684897.4682968,1731684897.4906406,1731684897.4916763,1731684897.4921732
squeezenet1_1,1731684897.4923694,1731684897.4984136,1731684897.5058353,1731684897.5227847,1731684897.4990108,1731684897.5228071,1731684897.523762,1731684897.5246189
squeezenet1_1,1731684897.5247996,1731684897.5300293,1731684897.5364058,1731684897.5551798,1731684897.530545,1731684897.5551949,1731684897.556107,1731684897.5568206
squeezenet1_1,1731684897.5570157,1731684897.5627744,1731684897.5689592,1731684897.5847251,1731684897.5631523,1731684897.5847507,1731684897.5855815,1731684897.5863044
squeezenet1_1,1731684897.586579,1731684897.591883,1731684897.5987172,1731684897.6156893,1731684897.5923696,1731684897.6157136,1731684897.616647,1731684897.6173882
squeezenet1_1,1731684897.6176252,1731684897.6227539,1731684897.6290553,1731684897.6448772,1731684897.623216,1731684897.6448956,1731684897.6456695,1731684897.6462998
squeezenet1_1,1731684897.6466172,1731684897.6515908,1731684897.6574743,1731684897.6739244,1731684897.6520143,1731684897.673937,1731684897.6749573,1731684897.6753547
squeezenet1_1,1731684897.6756058,1731684897.681752,1731684897.6890118,1731684897.7052855,1731684897.682261,1731684897.7053056,1731684897.7061925,1731684897.7068186
squeezenet1_1,1731684897.706992,1731684897.7121556,1731684897.7181244,1731684897.7344701,1731684897.7125628,1731684897.7344835,1731684897.7353473,1731684897.7358174
squeezenet1_1,1731684897.7359774,1731684897.740818,1731684897.7464874,1731684897.7625062,1731684897.7411582,1731684897.7625177,1731684897.7633471,1731684897.7638075
squeezenet1_1,1731684897.763972,1731684897.768741,1731684897.7742481,1731684897.7904487,1731684897.7690787,1731684897.7904596,1731684897.7912085,1731684897.7916648
squeezenet1_1,1731684897.791849,1731684897.7967336,1731684897.8026416,1731684897.817923,1731684897.7970653,1731684897.8179338,1731684897.8188019,1731684897.819225
squeezenet1_1,1731684897.8194401,1731684897.8249817,1731684897.8309057,1731684897.846287,1731684897.825416,1731684897.8463056,1731684897.8471706,1731684897.8478167
squeezenet1_1,1731684897.848086,1731684897.8532488,1731684897.8591216,1731684897.8740664,1731684897.8536754,1731684897.8740838,1731684897.8749294,1731684897.8754306
squeezenet1_1,1731684897.8756592,1731684897.8807948,1731684897.8863552,1731684897.9022799,1731684897.881176,1731684897.9022965,1731684897.903137,1731684897.9036977
squeezenet1_1,1731684897.90388,1731684897.9091415,1731684897.9149256,1731684897.9307718,1731684897.9095721,1731684897.9307868,1731684897.9315853,1731684897.9320726
squeezenet1_1,1731684897.9322464,1731684897.9376636,1731684897.9435744,1731684897.9591439,1731684897.9380677,1731684897.9591584,1731684897.9600456,1731684897.9606082
squeezenet1_1,1731684897.9607942,1731684897.966287,1731684897.9725711,1731684897.9896224,1731684897.966821,1731684897.989637,1731684897.9905007,1731684897.9910975
squeezenet1_1,1731684897.9912808,1731684897.9962175,1731684898.0017169,1731684898.017058,1731684897.9966276,1731684898.0170686,1731684898.0177996,1731684898.0181868
squeezenet1_1,1731684898.0183647,1731684898.0232012,1731684898.0287955,1731684898.0449965,1731684898.0235808,1731684898.045007,1731684898.04573,1731684898.0460393
squeezenet1_1,1731684898.0462165,1731684898.0509007,1731684898.056595,1731684898.0718222,1731684898.0512438,1731684898.0718317,1731684898.0726743,1731684898.0730498
squeezenet1_1,1731684898.0732355,1731684898.077999,1731684898.083514,1731684898.0990865,1731684898.0783324,1731684898.0991018,1731684898.0999978,1731684898.10031
squeezenet1_1,1731684898.1005254,1731684898.1052697,1731684898.1113389,1731684898.1269066,1731684898.1056304,1731684898.126917,1731684898.127769,1731684898.128064
squeezenet1_1,1731684898.1282377,1731684898.132792,1731684898.1383011,1731684898.1538196,1731684898.1331327,1731684898.1538317,1731684898.154837,1731684898.1551461
squeezenet1_1,1731684898.1553278,1731684898.1604776,1731684898.1667783,1731684898.1822112,1731684898.160862,1731684898.182223,1731684898.183276,1731684898.1837912
squeezenet1_1,1731684898.1839557,1731684898.1888502,1731684898.194515,1731684898.2114525,1731684898.189227,1731684898.2114651,1731684898.2125728,1731684898.2131026
squeezenet1_1,1731684898.2132883,1731684898.2182157,1731684898.2239962,1731684898.2404912,1731684898.218646,1731684898.2405038,1731684898.241416,1731684898.2418184
squeezenet1_1,1731684898.2419834,1731684898.246836,1731684898.2528403,1731684898.2687356,1731684898.2472084,1731684898.2687466,1731684898.2696588,1731684898.2701044
squeezenet1_1,1731684898.2702959,1731684898.275067,1731684898.280819,1731684898.29687,1731684898.275414,1731684898.296881,1731684898.2979221,1731684898.298179
squeezenet1_1,1731684898.298358,1731684898.3032174,1731684898.3087149,1731684898.324334,1731684898.3035998,1731684898.3243444,1731684898.3252265,1731684898.3256674
