client_send_at,server_receive_at,image_preprocessed_at,image_predicted_at,image_save_at,client_receive_at
1731652369.2297564,1731652369.2385728,1731652369.2457116,1731652369.2886078,1731652369.240107,1731652369.2842338
1731652369.284397,1731652369.2928488,1731652369.3002248,1731652369.3158743,1731652369.2945068,1731652369.3111286
1731652369.3112772,1731652369.3194485,1731652369.326289,1731652369.3426044,1731652369.3208694,1731652369.3380847
1731652369.3382921,1731652369.346561,1731652369.3533063,1731652369.368978,1731652369.3481545,1731652369.364372
1731652369.3646028,1731652369.37298,1731652369.3797548,1731652369.3955097,1731652369.3743405,1731652369.3906972
1731652369.3908582,1731652369.3990324,1731652369.4061544,1731652369.42222,1731652369.4005146,1731652369.4174485
1731652369.417628,1731652369.425765,1731652369.4323401,1731652369.4485967,1731652369.4271514,1731652369.4441054
1731652369.4442892,1731652369.452649,1731652369.4596107,1731652369.4767065,1731652369.4542198,1731652369.4720917
1731652369.472278,1731652369.480695,1731652369.4878466,1731652369.5037005,1731652369.4821455,1731652369.4992754
1731652369.499517,1731652369.5078423,1731652369.514758,1731652369.5307202,1731652369.5092883,1731652369.5261905
1731652369.5264275,1731652369.5347664,1731652369.542411,1731652369.5624654,1731652369.5361695,1731652369.5576348
1731652369.5577736,1731652369.5658934,1731652369.5727904,1731652369.5887609,1731652369.5672412,1731652369.583972
1731652369.5841608,1731652369.5923228,1731652369.5991948,1731652369.6151345,1731652369.593692,1731652369.6103227
1731652369.610493,1731652369.6188366,1731652369.6263628,1731652369.6434762,1731652369.6205149,1731652369.6389782
1731652369.639198,1731652369.6475236,1731652369.6547222,1731652369.6699913,1731652369.6491034,1731652369.6652267
1731652369.6653845,1731652369.6736572,1731652369.6804538,1731652369.6958811,1731652369.6749685,1731652369.6910741
1731652369.6911967,1731652369.6994195,1731652369.7064846,1731652369.7241013,1731652369.7007842,1731652369.7193694
1731652369.7195168,1731652369.7276454,1731652369.734724,1731652369.7519622,1731652369.7289827,1731652369.7472727
1731652369.74743,1731652369.7559147,1731652369.764874,1731652369.7835505,1731652369.7580993,1731652369.7787712
1731652369.7788992,1731652369.7872214,1731652369.7957728,1731652369.8137424,1731652369.7888923,1731652369.8099113
1731652369.8104165,1731652369.819387,1731652369.8268926,1731652369.8446243,1731652369.820921,1731652369.8399377
1731652369.840138,1731652369.8483994,1731652369.85735,1731652369.8748994,1731652369.8501282,1731652369.8703754
1731652369.8705912,1731652369.8792205,1731652369.887299,1731652369.9050696,1731652369.8808928,1731652369.9006295
1731652369.9007885,1731652369.9092565,1731652369.9170315,1731652369.9351838,1731652369.9108598,1731652369.930627
1731652369.930811,1731652369.939073,1731652369.946461,1731652369.9634073,1731652369.9405527,1731652369.958978
1731652369.9592726,1731652369.9676943,1731652369.97607,1731652369.9923756,1731652369.969389,1731652369.987674
1731652369.9878428,1731652369.9959517,1731652370.0032363,1731652370.0193095,1731652369.9973338,1731652370.0149477
1731652370.0152051,1731652370.023891,1731652370.0311053,1731652370.0477872,1731652370.0253115,1731652370.0433168
1731652370.04358,1731652370.0519924,1731652370.0593016,1731652370.076141,1731652370.053448,1731652370.0716805
1731652370.0718896,1731652370.0802398,1731652370.0876815,1731652370.1029885,1731652370.081815,1731652370.0984685
1731652370.098706,1731652370.1071196,1731652370.1150134,1731652370.1310375,1731652370.1085238,1731652370.1268165
1731652370.1270797,1731652370.1362543,1731652370.1437402,1731652370.160374,1731652370.137767,1731652370.1561384
1731652370.156377,1731652370.1653583,1731652370.172191,1731652370.187949,1731652370.1667576,1731652370.183903
1731652370.1841946,1731652370.1931932,1731652370.199952,1731652370.2148883,1731652370.194569,1731652370.2103236
1731652370.2105901,1731652370.2189367,1731652370.225642,1731652370.240554,1731652370.2203116,1731652370.2358606
1731652370.2360134,1731652370.2444673,1731652370.2512403,1731652370.2663138,1731652370.2459133,1731652370.2618601
1731652370.2620866,1731652370.2706118,1731652370.2773094,1731652370.2919042,1731652370.2721047,1731652370.287443
1731652370.2877154,1731652370.2961807,1731652370.303157,1731652370.3179858,1731652370.2975938,1731652370.3133087
1731652370.3134663,1731652370.322394,1731652370.3300278,1731652370.3467276,1731652370.3241153,1731652370.3423045
1731652370.3424978,1731652370.3508725,1731652370.357728,1731652370.3731015,1731652370.3522985,1731652370.3686182
1731652370.368815,1731652370.3771627,1731652370.3839211,1731652370.3991592,1731652370.3785644,1731652370.394522
1731652370.3947177,1731652370.4031305,1731652370.4105966,1731652370.4387224,1731652370.4047654,1731652370.4344947
1731652370.4347627,1731652370.4433243,1731652370.4500122,1731652370.4736743,1731652370.444785,1731652370.469251
1731652370.4694881,1731652370.4777691,1731652370.4859085,1731652370.5141258,1731652370.4791958,1731652370.5096297
1731652370.5098603,1731652370.5181205,1731652370.525375,1731652370.552152,1731652370.5196028,1731652370.5474644
1731652370.5476584,1731652370.5560749,1731652370.563961,1731652370.593767,1731652370.5576618,1731652370.5892718
1731652370.5894418,1731652370.597766,1731652370.605753,1731652370.6371882,1731652370.5992491,1731652370.6332333
1731652370.6334333,1731652370.6418843,1731652370.6489038,1731652370.674301,1731652370.6433349,1731652370.6696823
1731652370.6698225,1731652370.6780787,1731652370.6852093,1731652370.7090576,1731652370.6795938,1731652370.704452
1731652370.7046611,1731652370.7129443,1731652370.719973,1731652370.740942,1731652370.7143784,1731652370.736479
1731652370.7367468,1731652370.7449539,1731652370.751671,1731652370.7695563,1731652370.7463298,1731652370.7649634
1731652370.7651544,1731652370.7734807,1731652370.7808495,1731652370.7994573,1731652370.7751648,1731652370.794749
1731652370.7949126,1731652370.8030388,1731652370.8100426,1731652370.828687,1731652370.804444,1731652370.8240232
1731652370.8241954,1731652370.834708,1731652370.846224,1731652370.8679314,1731652370.8386254,1731652370.8639414
1731652370.8641682,1731652370.8734848,1731652370.8833013,1731652370.9055476,1731652370.875829,1731652370.901176
