client_send_time,network_time,server_receive_time,image_save_time,image_preprocessed_time,image_predicted_time,qoe_computed_time,event_produced_time,response_create_time,client_receive_time
779354.315746112,0.787,779340.358566618,779340.360439641,779340.366117854,779340.382947454,779340.382975767,779340.383942215,779340.384083281,779354.346872197
779354.34698,0.787,779340.390209836,779340.392123787,779340.397894553,779340.414732038,779340.414757256,779340.415692976,779340.415815807,779354.376573054
779354.376693181,0.787,779340.419765858,779340.4216009,779340.427103632,779340.44438423,779340.444423555,779340.445299613,779340.445439706,779354.406107767
779354.406193199,0.787,779340.449150958,779340.450979999,779340.456784949,779340.474032947,779340.47406101,779340.474910387,779340.475053397,779354.435720787
779354.43582837,0.787,779340.478762835,779340.480632142,779340.486247696,779340.503417616,779340.503445929,779340.504336585,779340.50448281,779354.465242356
779354.465361791,0.787,779340.508487634,779340.510368041,779340.51595922,779340.532801655,779340.532828986,779340.533699463,779340.533837994,779354.494514937
779354.494603233,0.787,779340.537666096,779340.539649226,779340.545060045,779340.56179607,779340.561814645,779340.562528968,779340.562626632,779354.523348682
779354.523453549,0.787,779340.566547147,779340.568495553,779340.574075159,779340.591239489,779340.59126614,779340.592073058,779340.592210225,779354.553179533
779354.553313775,0.787,779340.5963535,779340.598346129,779340.603806521,779340.620627916,779340.620649246,779340.62155493,779340.621669816,779354.582402902
779354.582508951,0.787,779340.62555205,779340.627400847,779340.633114727,779340.650289757,779340.650316857,779340.651260843,779340.651381831,779354.612162749
779354.612260933,0.787,779340.654994597,779340.656817397,779340.662201515,779340.678753143,779340.678775014,779340.6797028,779340.679816974,779354.640502034
779354.64060687,0.787,779340.684289568,779340.686264925,779340.692206552,779340.709737131,779340.709762689,779340.710713167,779340.710841689,779354.671918648
779354.672045777,0.787,779340.715015851,779340.716908362,779340.722510751,779340.739548202,779340.739574032,779340.740542033,779340.740669011,779354.701409198
779354.701477316,0.787,779340.745114524,779340.74708483,779340.752742855,779340.769370355,779340.769391004,779340.770290315,779340.770392558,779354.731182098
779354.731269774,0.787,779340.774206994,779340.775950113,779340.781233903,779340.798107576,779340.79813606,779340.799033849,779340.79915649,779354.759864359
779354.759942525,0.787,779340.803024737,779340.804849018,779340.810535787,779340.827142568,779340.827163326,779340.827960878,779340.828093637,779354.788749804
779354.788831006,0.787,779340.831929323,779340.833848944,779340.841165178,779340.858638108,779340.858664177,779340.859604667,779340.859732738,779354.820454838
779354.820533976,0.787,779340.86356628,779340.865435336,779340.870902571,779340.887608679,779340.887636882,779340.8884762,779340.888615673,779354.849390254
779354.849470474,0.787,779340.892671173,779340.894672157,779340.900299112,779340.917190139,779340.917215216,779340.917984293,779340.918123424,779354.878808818
779354.8788739,0.787,779340.921769824,779340.923578657,779340.929157972,779340.946263241,779340.946290723,779340.947051765,779340.947174987,779354.907859773
779354.90793848,0.787,779340.950899243,779340.952762448,779340.958263467,779340.975340172,779340.975363656,779340.976324975,779340.976465619,779354.93715723
779354.937235406,0.787,779340.980486263,779340.982438776,779340.988253815,779341.005701418,779341.005727818,779341.006649161,779341.006769959,779354.967572488
779354.967664181,0.787,779341.010695344,779341.012481404,779341.017823443,779341.034247731,779341.034269652,779341.035200403,779341.035308306,779354.995981588
779354.996075595,0.787,779341.039109317,779341.041042924,779341.046746965,779341.063633142,779341.063656345,779341.064542713,779341.064660535,779355.025373713
779355.025451759,0.787,779341.068422271,779341.070219642,779341.075530723,779341.091775444,779341.091795191,779341.092548328,779341.092645911,779355.053308137
779355.053376034,0.787,779341.096513226,779341.09842359,779341.104113124,779341.121181473,779341.12120627,779341.122192425,779341.122311469,779355.083148504
779355.083214399,0.787,779341.126168295,779341.128021832,779341.133619192,779341.150350998,779341.15037824,779341.151211176,779341.151329489,779355.11219483
779355.112259271,0.787,779341.155582379,779341.157713919,779341.163486559,779341.180850895,779341.180877034,779341.181711514,779341.181837922,779355.14267944
779355.142756033,0.787,779341.185981507,779341.187990617,779341.193725565,779341.211285871,779341.211312641,779341.21228489,779341.212420986,779355.173252495
779355.173323228,0.787,779341.216295825,779341.218110941,779341.223533412,779341.240700276,779341.240727998,779341.241583026,779341.241708533,779355.202451357
779355.202513795,0.787,779341.246062774,779341.248147265,779341.254160588,779341.271436338,779341.271463729,779341.272246642,779341.272370034,779355.233209711
779355.233288038,0.787,779341.276199738,779341.277993253,779341.283386038,779341.300322038,779341.300346785,779341.30115241,779341.301272927,779355.26206023
779355.262138096,0.787,779341.305112009,779341.307143031,779341.313300624,779341.330490522,779341.330515469,779341.331401766,779341.331534186,779355.292297444
779355.292372395,0.787,779341.33537427,779341.337255529,779341.342636001,779341.359868589,779341.359897213,779341.360776387,779341.360896362,779355.321578231
779355.321658301,0.787,779341.364568962,779341.366398354,779341.37212154,779341.388971539,779341.389023787,779341.389895156,779341.390032164,779355.350771972
779355.350850239,0.787,779341.393940246,779341.39581914,779341.40137899,779341.418932753,779341.418959483,779341.419758126,779341.419888521,779355.380720904
779355.380786908,0.787,779341.423849442,779341.425791104,779341.43146539,779341.447737742,779341.447760304,779341.448558586,779341.448669083,779355.409377098
779355.409453802,0.787,779341.452484461,779341.454375258,779341.460222268,779341.477834591,779341.477861091,779341.478848348,779341.478979505,779355.439748755
779355.439823956,0.787,779341.483285586,779341.485309943,779341.491275557,779341.50861166,779341.508637398,779341.509391647,779341.509544765,779355.47032636
779355.470402643,0.787,779341.513437148,779341.515265066,779341.520618698,779341.537083392,779341.537106055,779341.537941456,779341.538089504,779355.498841085
779355.498924962,0.787,779341.54240365,779341.544516305,779341.550606963,779341.567779788,779341.56780693,779341.568620911,779341.56874292,779355.529544174
779355.529643822,0.787,779341.573086653,779341.57519572,779341.581018243,779341.600493291,779341.600520482,779341.601397832,779341.601555999,779355.562437394
779355.56252012,0.787,779341.605896765,779341.607796529,779341.613669849,779341.630965977,779341.630991615,779341.631872703,779341.631990504,779355.592797088
779355.592878121,0.787,779341.635941968,779341.637828387,779341.643373918,779341.660291284,779341.660316652,779341.661318698,779341.661455154,779355.622236233
