client_send_at,server_receive_at,image_preprocessed_at,image_predicted_at,image_save_at,client_receive_at
1731643227.3364596,1731643227.2926664,1731643227.299124,1731643227.463212,1731643227.2940083,1731643227.510801
1731643227.51091,1731643227.4671803,1731643227.4738011,1731643227.637593,1731643227.4686522,1731643227.6850836
1731643227.68519,1731643227.6414185,1731643227.6479673,1731643227.8111897,1731643227.6427746,1731643227.8587675
1731643227.8588777,1731643227.8151462,1731643227.8216305,1731643227.9872131,1731643227.8166184,1731643228.0348532
1731643228.0349586,1731643227.9911058,1731643227.9973385,1731643228.157812,1731643227.992437,1731643228.2052982
1731643228.2054062,1731643228.161486,1731643228.1677332,1731643228.339316,1731643228.162774,1731643228.386946
1731643228.3871293,1731643228.3432443,1731643228.349702,1731643228.5089076,1731643228.3445704,1731643228.5564327
1731643228.5565886,1731643228.5127861,1731643228.51892,1731643228.6819344,1731643228.5140812,1731643228.7296414
1731643228.7297547,1731643228.686034,1731643228.6925743,1731643228.851025,1731643228.6873462,1731643228.898687
1731643228.8987775,1731643228.8550818,1731643228.861403,1731643229.0266502,1731643228.856412,1731643229.074107
1731643229.0741978,1731643229.0304992,1731643229.0368304,1731643229.2036412,1731643229.0318453,1731643229.251142
1731643229.2511978,1731643229.2072887,1731643229.2137337,1731643229.3767273,1731643229.2086272,1731643229.4241185
1731643229.4241874,1731643229.380573,1731643229.3877752,1731643229.5555956,1731643229.3819408,1731643229.602955
1731643229.6030633,1731643229.5592556,1731643229.5656905,1731643229.7292593,1731643229.5606158,1731643229.776723
1731643229.7767887,1731643229.7337573,1731643229.7406323,1731643229.9093037,1731643229.7357264,1731643229.956823
1731643229.9568875,1731643229.913061,1731643229.9196212,1731643230.0799851,1731643229.9143922,1731643230.1275342
1731643230.1276293,1731643230.083753,1731643230.090015,1731643230.2491434,1731643230.0851402,1731643230.2967434
1731643230.296822,1731643230.2530406,1731643230.2597325,1731643230.4230587,1731643230.2543676,1731643230.4704897
1731643230.4705882,1731643230.4268954,1731643230.4335337,1731643230.5957768,1731643230.428261,1731643230.6432896
