client_send_at,server_receive_at,image_preprocessed_at,image_predicted_at,image_save_at,qoe_computed_at,broker_produced_at,client_receive_at
1731651963.1261845,1731651963.1356792,1731651963.1423635,1731651963.1732028,1731651963.1360793,1731651963.1732175,1731651963.1740913,1731651963.1701026
1731651963.1702418,1731651963.1803493,1731651963.1882138,1731651963.2176826,1731651963.180777,1731651963.217697,1731651963.2188175,1731651963.2148383
1731651963.214971,1731651963.226298,1731651963.234098,1731651963.2648518,1731651963.2268176,1731651963.2648768,1731651963.2657318,1731651963.2628634
1731651963.2634695,1731651963.2747474,1731651963.2819502,1731651963.3128858,1731651963.2752457,1731651963.3129077,1731651963.3137026,1731651963.310152
1731651963.3103561,1731651963.3204079,1731651963.3274775,1731651963.3548894,1731651963.3209376,1731651963.3549097,1731651963.3558955,1731651963.3521292
1731651963.3522923,1731651963.3623657,1731651963.3693867,1731651963.3963716,1731651963.3628166,1731651963.396396,1731651963.3973005,1731651963.393706
1731651963.393858,1731651963.403754,1731651963.4120617,1731651963.4380138,1731651963.4042294,1731651963.4380312,1731651963.4388888,1731651963.4352167
1731651963.4353526,1731651963.4469447,1731651963.456506,1731651963.4834752,1731651963.4477973,1731651963.483493,1731651963.484358,1731651963.48075
1731651963.4808774,1731651963.490377,1731651963.4968846,1731651963.5159285,1731651963.4908035,1731651963.5159392,1731651963.5167458,1731651963.5128043
1731651963.5129309,1731651963.5231013,1731651963.5303938,1731651963.5502884,1731651963.5236344,1731651963.550309,1731651963.5509434,1731651963.5470808
1731651963.5472097,1731651963.5572093,1731651963.5632699,1731651963.5821402,1731651963.5576441,1731651963.5821524,1731651963.582913,1731651963.5789738
1731651963.5791097,1731651963.5891137,1731651963.5957422,1731651963.615088,1731651963.5896094,1731651963.6151054,1731651963.6158762,1731651963.6121378
1731651963.6122503,1731651963.6217856,1731651963.628714,1731651963.6475585,1731651963.622206,1731651963.6475718,1731651963.6484165,1731651963.6442711
1731651963.6443763,1731651963.653969,1731651963.660646,1731651963.679138,1731651963.654344,1731651963.6791477,1731651963.6800056,1731651963.6759095
1731651963.6760345,1731651963.6852987,1731651963.691606,1731651963.7094731,1731651963.6856964,1731651963.7094827,1731651963.7102287,1731651963.7061782
1731651963.706297,1731651963.7157066,1731651963.7230768,1731651963.7491782,1731651963.7161355,1731651963.7491887,1731651963.7501872,1731651963.7461445
1731651963.7462676,1731651963.756206,1731651963.7650821,1731651963.7924635,1731651963.7566974,1731651963.792477,1731651963.793304,1731651963.7892973
1731651963.7894263,1731651963.8006248,1731651963.8096213,1731651963.8381004,1731651963.8013215,1731651963.8381267,1731651963.8388875,1731651963.835268
1731651963.8353896,1731651963.8456953,1731651963.854113,1731651963.8926141,1731651963.846198,1731651963.8926337,1731651963.8935978,1731651963.889735
1731651963.8898358,1731651963.8999522,1731651963.9070463,1731651963.926704,1731651963.9004676,1731651963.926723,1731651963.9276152,1731651963.9238353
1731651963.923938,1731651963.9337041,1731651963.940377,1731651963.959021,1731651963.9341326,1731651963.9590352,1731651963.9598677,1731651963.9561477
1731651963.9562707,1731651963.9659045,1731651963.9724042,1731651963.9915261,1731651963.9663322,1731651963.9915414,1731651963.992559,1731651963.988845
1731651963.9889572,1731651963.9990902,1731651964.0069327,1731651964.0334892,1731651963.9996376,1731651964.0335085,1731651964.034227,1731651964.0304236
1731651964.0305831,1731651964.040782,1731651964.0483735,1731651964.0764122,1731651964.041238,1731651964.076448,1731651964.077391,1731651964.0737624
1731651964.07389,1731651964.0846114,1731651964.0927708,1731651964.1200898,1731651964.085141,1731651964.1201103,1731651964.1211553,1731651964.1177304
1731651964.117857,1731651964.1283264,1731651964.136104,1731651964.1620474,1731651964.1288426,1731651964.162074,1731651964.1628227,1731651964.1592863
1731651964.1593895,1731651964.169268,1731651964.176977,1731651964.2041879,1731651964.169723,1731651964.2042055,1731651964.2052498,1731651964.2014387
1731651964.2016082,1731651964.2111688,1731651964.2190073,1731651964.2456002,1731651964.2115772,1731651964.2456126,1731651964.2464552,1731651964.2424238
