client_send_time,network_time,server_receive_time,image_save_time,image_preprocessed_time,image_predicted_time,qoe_computed_time,event_produced_time,response_create_time,client_receive_time
1133878.734089206,0.787,1133864.780636177,1133864.781913511,1133864.787595425,1133864.804607334,1133864.804617142,1133864.808030647,1133864.808120987,1133878.76606896
1133878.766318021,0.787,1133864.813259378,1133864.81456722,1133864.820045841,1133864.839207244,1133864.839216903,1133864.840657555,1133864.840730582,1133878.798666569
1133878.798948051,0.787,1133864.845795534,1133864.847211329,1133864.852878346,1133864.870240032,1133864.870251294,1133864.871243251,1133864.871315616,1133878.829559605
1133878.830036728,0.787,1133864.877661009,1133864.879423657,1133864.885192574,1133864.902758345,1133864.902767692,1133864.903542832,1133864.903632912,1133878.861705171
1133878.861976874,0.787,1133864.908498559,1133864.90975846,1133864.914979527,1133864.932274759,1133864.932284838,1133864.933286362,1133864.933556661,1133878.891407496
1133878.891652028,0.787,1133864.938181406,1133864.939476102,1133864.944934506,1133864.962084103,1133864.96209348,1133864.962795132,1133864.962867758,1133878.920843478
1133878.921126714,0.787,1133864.967462005,1133864.968742345,1133864.974247456,1133864.990786625,1133864.99079469,1133864.991466474,1133864.991537939,1133878.949241327
1133878.949462516,0.787,1133864.996219891,1133864.99761691,1133865.002826185,1133865.019916861,1133865.019927582,1133865.02063364,1133865.020706567,1133878.977981854
1133878.978142408,0.787,1133865.024216573,1133865.025481134,1133865.030635294,1133865.048722968,1133865.048733066,1133865.049512794,1133865.049603375,1133879.006853299
1133879.006979698,0.787,1133865.05312298,1133865.054522283,1133865.060295789,1133865.078273545,1133865.078284496,1133865.079396329,1133865.079469035,1133879.036744883
1133879.036864098,0.787,1133865.082896026,1133865.084215949,1133865.089322832,1133865.106419019,1133865.106428226,1133865.107256525,1133865.107325024,1133879.064513583
1133879.06472896,0.787,1133865.110833287,1133865.112124246,1133865.11751354,1133865.134252624,1133865.134261391,1133865.13513221,1133865.135209425,1133879.092649166
1133879.092758923,0.787,1133865.138597482,1133865.13987684,1133865.14509977,1133865.161394058,1133865.161402835,1133865.162194364,1133865.162262623,1133879.119385755
1133879.119493689,0.787,1133865.165286944,1133865.166943613,1133865.172465576,1133865.189438692,1133865.189446657,1133865.190357621,1133865.190417573,1133879.147509376
1133879.147616468,0.787,1133865.193650158,1133865.194883468,1133865.200165681,1133865.216443257,1133865.216451683,1133865.217663764,1133865.217724438,1133879.175317682
1133879.175511228,0.787,1133865.222026255,1133865.223427482,1133865.228789574,1133865.246913695,1133865.246923814,1133865.247773364,1133865.247853595,1133879.205302752
1133879.20544981,0.787,1133865.251778963,1133865.253086493,1133865.258358306,1133865.275475953,1133865.275485521,1133865.276262183,1133865.276333136,1133879.233540919
1133879.233666206,0.787,1133865.279872808,1133865.281208473,1133865.286574903,1133865.303319368,1133865.303328235,1133865.304227958,1133865.304295204,1133879.26142638
1133879.261529194,0.787,1133865.307303286,1133865.308584588,1133865.313971045,1133865.330616664,1133865.33062502,1133865.33149093,1133865.331555031,1133879.288626725
1133879.288737895,0.787,1133865.334936395,1133865.336266217,1133865.342216547,1133865.359791505,1133865.359802355,1133865.360639922,1133865.360714432,1133879.317942578
1133879.318092111,0.787,1133865.364042737,1133865.365308289,1133865.370801317,1133865.388221985,1133865.388231442,1133865.388929436,1133865.389031178,1133879.346212405
1133879.346321482,0.787,1133865.392224467,1133865.393541386,1133865.398921131,1133865.416147714,1133865.416156981,1133865.416978648,1133865.417067776,1133879.374255584
1133879.374363188,0.787,1133865.420249293,1133865.421518171,1133865.426631847,1133865.443764783,1133865.443772437,1133865.444552355,1133865.444628528,1133879.401755235
1133879.401902715,0.787,1133865.447994112,1133865.449748936,1133865.454938052,1133865.472935475,1133865.472944572,1133865.473711136,1133865.473781027,1133879.431143918
1133879.431255299,0.787,1133865.477137374,1133865.478381586,1133865.483435257,1133865.500732853,1133865.500741609,1133865.501492814,1133865.501575739,1133879.458748897
1133879.45888792,0.787,1133865.504671295,1133865.505912752,1133865.511197359,1133865.527814343,1133865.527823141,1133865.528669212,1133865.52873699,1133879.485864492
1133879.485956646,0.787,1133865.531603144,1133865.532857866,1133865.538738915,1133865.560889966,1133865.560901178,1133865.561746479,1133865.56181653,1133879.51905376
1133879.519170291,0.787,1133865.565313221,1133865.566967044,1133865.572213598,1133865.588272403,1133865.588280488,1133865.58896141,1133865.589041019,1133879.546169614
1133879.546276496,0.787,1133865.592181942,1133865.593344459,1133865.598345663,1133865.614467425,1133865.61447532,1133865.615260197,1133865.615316313,1133879.572407891
1133879.572495326,0.787,1133865.618522036,1133865.620058638,1133865.626129745,1133865.644255871,1133865.64427181,1133865.644976246,1133865.645103716,1133879.602373333
1133879.602455509,0.787,1133865.648276178,1133865.649698374,1133865.654954747,1133865.671259615,1133865.671270696,1133865.671970423,1133865.672070691,1133879.629284292
1133879.629366067,0.787,1133865.675057994,1133865.676327033,1133865.681406022,1133865.698236168,1133865.698245065,1133865.698849091,1133865.698910768,1133879.656207062
1133879.656309555,0.787,1133865.702066697,1133865.703303756,1133865.708672951,1133865.724780076,1133865.724788572,1133865.72537187,1133865.725431713,1133879.682693858
1133879.682830396,0.787,1133865.728868401,1133865.730458094,1133865.735870289,1133865.752881036,1133865.752889061,1133865.753588408,1133865.753646136,1133879.710769217
1133879.710876148,0.787,1133865.75650182,1133865.757747815,1133865.76262224,1133865.778672118,1133865.778680053,1133865.779275193,1133865.779336548,1133879.736470037
1133879.736557151,0.787,1133865.782269538,1133865.783530371,1133865.78855577,1133865.804391214,1133865.804399029,1133865.80507983,1133865.805142919,1133879.762322584
1133879.762410471,0.787,1133865.807930064,1133865.809187661,1133865.814551977,1133865.830993804,1133865.831027617,1133865.831683301,1133865.831749435,1133879.788935609
1133879.789069943,0.787,1133865.834917869,1133865.836344524,1133865.842072084,1133865.860202027,1133865.860212837,1133865.860953521,1133865.861050694,1133879.818269107
