client_send_at,server_receive_at,image_preprocessed_at,image_predicted_at,image_save_at,qoe_computed_at,broker_produced_at,client_receive_at
1731647707.680455,1731647707.6896706,1731647707.69687,1731647707.7178352,1731647707.6901278,1731647707.717858,1731647707.7188637,1731647707.7157397
1731647707.7158573,1731647707.7245495,1731647707.7312996,1731647707.7535198,1731647707.7249532,1731647707.7536025,1731647707.7547865,1731647707.7525728
1731647707.7526934,1731647707.7625105,1731647707.7711415,1731647707.793396,1731647707.763008,1731647707.793415,1731647707.7943966,1731647707.7914376
1731647707.7915916,1731647707.8005443,1731647707.8068929,1731647707.8274395,1731647707.8009677,1731647707.8274593,1731647707.8288882,1731647707.8258514
1731647707.8259792,1731647707.8345737,1731647707.8412066,1731647707.8614914,1731647707.8349872,1731647707.8615088,1731647707.863669,1731647707.860702
1731647707.8608239,1731647707.8702662,1731647707.8776107,1731647707.9015927,1731647707.8708007,1731647707.9016078,1731647707.9026024,1731647707.899407
1731647707.8995297,1731647707.9083736,1731647707.9153562,1731647707.9358344,1731647707.9087884,1731647707.935846,1731647707.9367125,1731647707.933481
1731647707.9336345,1731647707.9432778,1731647707.9503994,1731647707.9702075,1731647707.943812,1731647707.9702287,1731647707.971295,1731647707.9683573
1731647707.9684846,1731647707.977508,1731647707.9842174,1731647708.004739,1731647707.9779317,1731647708.0047631,1731647708.0058641,1731647708.0029128
1731647708.0030365,1731647708.0122237,1731647708.0189629,1731647708.038695,1731647708.012721,1731647708.0387175,1731647708.0398316,1731647708.0372436
1731647708.0373795,1731647708.048566,1731647708.0551925,1731647708.0751421,1731647708.048999,1731647708.0751631,1731647708.076092,1731647708.0732405
1731647708.0733993,1731647708.0824962,1731647708.0897584,1731647708.1097572,1731647708.0829308,1731647708.1097877,1731647708.1106036,1731647708.107811
1731647708.107934,1731647708.1176963,1731647708.1243932,1731647708.1421256,1731647708.1181319,1731647708.1421444,1731647708.1431115,1731647708.1402876
1731647708.1404257,1731647708.1502604,1731647708.1574817,1731647708.1868563,1731647708.1507778,1731647708.186878,1731647708.1877913,1731647708.1848886
1731647708.185004,1731647708.1946347,1731647708.201722,1731647708.2207859,1731647708.195081,1731647708.2208054,1731647708.223514,1731647708.2205894
1731647708.2207124,1731647708.2298577,1731647708.2364514,1731647708.2573519,1731647708.230363,1731647708.2573686,1731647708.2586272,1731647708.2555695
1731647708.25567,1731647708.263971,1731647708.269997,1731647708.2871006,1731647708.2643576,1731647708.2871113,1731647708.287871,1731647708.2844644
1731647708.284611,1731647708.292701,1731647708.2985644,1731647708.3149164,1731647708.2930493,1731647708.3149257,1731647708.315854,1731647708.3124332
1731647708.3125844,1731647708.3206632,1731647708.3265047,1731647708.3429222,1731647708.321017,1731647708.342932,1731647708.3439054,1731647708.3404229
1731647708.3405752,1731647708.3487604,1731647708.3550386,1731647708.38465,1731647708.349109,1731647708.3846595,1731647708.385762,1731647708.3827145
1731647708.3828378,1731647708.391178,1731647708.3981755,1731647708.417306,1731647708.391668,1731647708.417332,1731647708.4183652,1731647708.4149907
1731647708.415113,1731647708.4235868,1731647708.4296198,1731647708.445658,1731647708.4239364,1731647708.4456673,1731647708.4467363,1731647708.4433165
1731647708.443453,1731647708.4518948,1731647708.4578035,1731647708.4747453,1731647708.4522495,1731647708.474755,1731647708.4758894,1731647708.4726336
1731647708.4727561,1731647708.4819741,1731647708.4885995,1731647708.5093105,1731647708.4824607,1731647708.5093496,1731647708.5107398,1731647708.5078933
1731647708.5080147,1731647708.5180786,1731647708.5258656,1731647708.557054,1731647708.5187442,1731647708.557067,1731647708.5581753,1731647708.555065
1731647708.555189,1731647708.5642297,1731647708.570887,1731647708.5901482,1731647708.5646594,1731647708.5901594,1731647708.5912437,1731647708.5879762
1731647708.5881,1731647708.5976763,1731647708.6040852,1731647708.6237328,1731647708.598073,1731647708.6237469,1731647708.6248112,1731647708.621769
1731647708.6218848,1731647708.6311083,1731647708.637352,1731647708.6670995,1731647708.6315286,1731647708.6671145,1731647708.6679397,1731647708.664922
1731647708.6650443,1731647708.6739154,1731647708.6806495,1731647708.7008069,1731647708.6743045,1731647708.7008195,1731647708.7018964,1731647708.6988628
1731647708.6989636,1731647708.707592,1731647708.7144065,1731647708.7312462,1731647708.7079675,1731647708.731261,1731647708.7322273,1731647708.7291527
