model,client_send_at,server_receive_at,image_preprocessed_at,image_predicted_at,image_save_at,qoe_computed_at,broker_produced_at,client_receive_at
mobilenet_v3_small,1731689251.8092232,1731689251.8193827,1731689251.8263075,1731689251.8564641,1731689251.819856,1731689251.8564987,1731689251.8573773,1731689251.8534718
mobilenet_v3_small,1731689251.853785,1731689251.8640568,1731689251.8703082,1731689251.8929374,1731689251.86458,1731689251.89296,1731689251.893838,1731689251.8903065
mobilenet_v3_small,1731689251.890501,1731689251.900913,1731689251.9076865,1731689251.9328072,1731689251.9013622,1731689251.9328275,1731689251.9336686,1731689251.9298127
mobilenet_v3_small,1731689251.9300358,1731689251.9402623,1731689251.946505,1731689251.9635832,1731689251.9407587,1731689251.9636042,1731689251.9644642,1731689251.9604685
mobilenet_v3_small,1731689251.960687,1731689251.970672,1731689251.977696,1731689252.007396,1731689251.9711273,1731689252.00742,1731689252.0084152,1731689252.0049288
mobilenet_v3_small,1731689252.0051572,1731689252.0168862,1731689252.0241017,1731689252.0498607,1731689252.0174215,1731689252.0498884,1731689252.0509043,1731689252.0472171
mobilenet_v3_small,1731689252.0473742,1731689252.0584912,1731689252.065206,1731689252.0846279,1731689252.058963,1731689252.0846481,1731689252.0857136,1731689252.0819268
mobilenet_v3_small,1731689252.0821517,1731689252.0925756,1731689252.0988948,1731689252.1180353,1731689252.0930169,1731689252.1180527,1731689252.1195433,1731689252.115849
mobilenet_v3_small,1731689252.1160333,1731689252.1266465,1731689252.1333604,1731689252.1531012,1731689252.1271408,1731689252.1531265,1731689252.1541686,1731689252.1507905
mobilenet_v3_small,1731689252.1509771,1731689252.161534,1731689252.1678827,1731689252.1869698,1731689252.1619952,1731689252.1869895,1731689252.1879275,1731689252.1842663
mobilenet_v3_small,1731689252.1845176,1731689252.195009,1731689252.2011979,1731689252.2204957,1731689252.195489,1731689252.2205143,1731689252.2214549,1731689252.2177389
mobilenet_v3_small,1731689252.2179325,1731689252.228178,1731689252.2343419,1731689252.2527146,1731689252.2286534,1731689252.2527332,1731689252.2537413,1731689252.2498405
mobilenet_v3_small,1731689252.2501445,1731689252.2605886,1731689252.2671747,1731689252.287925,1731689252.2610803,1731689252.2879486,1731689252.2887619,1731689252.2850428
mobilenet_v3_small,1731689252.285331,1731689252.2953763,1731689252.3018978,1731689252.3217168,1731689252.2958694,1731689252.3217406,1731689252.3227422,1731689252.3189292
mobilenet_v3_small,1731689252.3192515,1731689252.3291242,1731689252.3352356,1731689252.3549008,1731689252.3296106,1731689252.3549232,1731689252.355926,1731689252.3521307
mobilenet_v3_small,1731689252.3523874,1731689252.362352,1731689252.3686233,1731689252.3881452,1731689252.3628285,1731689252.3881674,1731689252.3891068,1731689252.3853214
mobilenet_v3_small,1731689252.3856328,1731689252.3959122,1731689252.4022777,1731689252.4225388,1731689252.3963575,1731689252.422563,1731689252.4235163,1731689252.4199066
mobilenet_v3_small,1731689252.4201221,1731689252.4308543,1731689252.4375458,1731689252.457101,1731689252.4313247,1731689252.45712,1731689252.4581492,1731689252.4543343
mobilenet_v3_small,1731689252.4546402,1731689252.4651048,1731689252.471866,1731689252.4909716,1731689252.4656498,1731689252.490995,1731689252.4919922,1731689252.488035
mobilenet_v3_small,1731689252.4882562,1731689252.4982553,1731689252.5047233,1731689252.5241313,1731689252.4987373,1731689252.524155,1731689252.525178,1731689252.521616
mobilenet_v3_small,1731689252.5219111,1731689252.5319495,1731689252.538492,1731689252.557346,1731689252.5323997,1731689252.5573685,1731689252.5583613,1731689252.5546174
mobilenet_v3_small,1731689252.5548885,1731689252.565051,1731689252.5714037,1731689252.5909595,1731689252.5655527,1731689252.5909832,1731689252.592011,1731689252.5881906
mobilenet_v3_small,1731689252.5883772,1731689252.5985355,1731689252.6049,1731689252.6235363,1731689252.5989764,1731689252.6235576,1731689252.624542,1731689252.620653
mobilenet_v3_small,1731689252.6209135,1731689252.6313024,1731689252.6381235,1731689252.6566267,1731689252.6317844,1731689252.6566453,1731689252.6577015,1731689252.653725
mobilenet_v3_small,1731689252.6539056,1731689252.6641593,1731689252.6706443,1731689252.688669,1731689252.6645973,1731689252.688687,1731689252.6896994,1731689252.6858852
mobilenet_v3_small,1731689252.6861694,1731689252.6964123,1731689252.7035198,1731689252.72302,1731689252.6969204,1731689252.7230437,1731689252.7240095,1731689252.7203486
mobilenet_v3_small,1731689252.7206483,1731689252.730791,1731689252.7372243,1731689252.7560072,1731689252.7312357,1731689252.7560308,1731689252.7570555,1731689252.7545085
mobilenet_v3_small,1731689252.7548265,1731689252.7648313,1731689252.7713668,1731689252.7905393,1731689252.7652812,1731689252.7905655,1731689252.7916167,1731689252.78782
mobilenet_v3_small,1731689252.7880187,1731689252.7979732,1731689252.8042598,1731689252.8227074,1731689252.7984443,1731689252.8227286,1731689252.823762,1731689252.8199067
mobilenet_v3_small,1731689252.8201249,1731689252.83075,1731689252.837216,1731689252.8549218,1731689252.8312006,1731689252.8549433,1731689252.8559105,1731689252.8521702
mobilenet_v3_small,1731689252.8524508,1731689252.862454,1731689252.8684578,1731689252.8859773,1731689252.862898,1731689252.8859947,1731689252.8868854,1731689252.8828955
mobilenet_v3_small,1731689252.8830774,1731689252.8930464,1731689252.8991084,1731689252.916661,1731689252.8934612,1731689252.9166775,1731689252.9175594,1731689252.9136102
mobilenet_v3_small,1731689252.9138002,1731689252.9244165,1731689252.9312227,1731689252.9496448,1731689252.9249551,1731689252.9496684,1731689252.9504945,1731689252.9468982
mobilenet_v3_small,1731689252.9471111,1731689252.9571812,1731689252.9639256,1731689252.9850025,1731689252.957687,1731689252.9850268,1731689252.9859748,1731689252.9824119
mobilenet_v3_small,1731689252.9827845,1731689252.9938881,1731689253.0008519,1731689253.0217905,1731689252.994501,1731689253.0218163,1731689253.022839,1731689253.0191925
mobilenet_v3_small,1731689253.0194383,1731689253.0301359,1731689253.037014,1731689253.0585442,1731689253.030697,1731689253.0585694,1731689253.059499,1731689253.0558844
mobilenet_v3_small,1731689253.0560813,1731689253.066296,1731689253.0726473,1731689253.0925772,1731689253.0667899,1731689253.0926,1731689253.0935369,1731689253.0898752
mobilenet_v3_small,1731689253.090082,1731689253.1002207,1731689253.106633,1731689253.1270566,1731689253.1007159,1731689253.1270819,1731689253.1280704,1731689253.124495
